"id","lfhotelid","agenthotelid","caption_en","caption_zh","picurl","picsize","source","picture_id","updatetime","pic_path","pic_filesize"
"3060159","55","78234","Breakfast meal","早餐食物","https://i.travelapi.com/lodging/1000000/80000/78300/78234/550a0107_t.jpg","70px","0","81031","26/5/2023 08:41:37",,
"3060160","55","78234","Bar (on property)","酒吧（店内）","https://i.travelapi.com/lodging/1000000/80000/78300/78234/b6fcebf7_b.jpg","350px","0","82000","25/6/2023 17:26:59",,
"3060161","55","78234","Bar (on property)","酒吧（店内）","https://i.travelapi.com/lodging/1000000/80000/78300/78234/b6fcebf7_z.jpg","1000px","0","82000","25/6/2023 17:26:59","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060161.jpg","282.391"
"3060162","55","78234","Bar (on property)","酒吧（店内）","https://i.travelapi.com/lodging/1000000/80000/78300/78234/b6fcebf7_t.jpg","70px","0","82000","25/6/2023 17:26:59",,
"3060163","55","78234","Business center","商务中心","https://i.travelapi.com/lodging/1000000/80000/78300/78234/fa9d42ef_b.jpg","350px","0","83010","26/5/2023 08:41:37",,
"3060164","55","78234","Business center","商务中心","https://i.travelapi.com/lodging/1000000/80000/78300/78234/fa9d42ef_z.jpg","1000px","0","83010","26/5/2023 08:41:37","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060164.jpg","153.505"
"3060165","55","78234","Business center","商务中心","https://i.travelapi.com/lodging/1000000/80000/78300/78234/fa9d42ef_t.jpg","70px","0","83010","26/5/2023 08:41:37",,
"3060166","55","78234","Interior detail","内部细节","https://i.travelapi.com/lodging/1000000/80000/78300/78234/0b266b51_b.jpg","350px","0","83011","26/5/2023 08:41:37",,
"3060167","55","78234","Interior detail","内部细节","https://i.travelapi.com/lodging/1000000/80000/78300/78234/0b266b51_z.jpg","1000px","0","83011","26/5/2023 08:41:37","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060167.jpg","105.626"
"3060168","55","78234","Interior detail","内部细节","https://i.travelapi.com/lodging/1000000/80000/78300/78234/0b266b51_t.jpg","70px","0","83011","26/5/2023 08:41:37",,
"3060169","55","78234","Property entrance","住宿入口","https://i.travelapi.com/lodging/1000000/80000/78300/78234/038b6be7_b.jpg","350px","0","91002","26/5/2023 08:41:37",,
"3060170","55","78234","Property entrance","住宿入口","https://i.travelapi.com/lodging/1000000/80000/78300/78234/038b6be7_z.jpg","1000px","0","91002","26/5/2023 08:41:37","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060170.jpg","166.767"
"3060171","55","78234","Property entrance","住宿入口","https://i.travelapi.com/lodging/1000000/80000/78300/78234/038b6be7_t.jpg","70px","0","91002","26/5/2023 08:41:37",,
"3060172","55","78234","Garden","花园","https://i.travelapi.com/lodging/1000000/80000/78300/78234/a632ee0b_b.jpg","350px","0","91005","26/5/2023 08:41:37",,
"3060173","55","78234","Garden","花园","https://i.travelapi.com/lodging/1000000/80000/78300/78234/a632ee0b_z.jpg","1000px","0","91005","26/5/2023 08:41:37","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060173.jpg","248.942"
"3060174","55","78234","Garden","花园","https://i.travelapi.com/lodging/1000000/80000/78300/78234/a632ee0b_t.jpg","70px","0","91005","26/5/2023 08:41:37",,
"3060175","55","78234","City view","城市景观","https://i.travelapi.com/lodging/1000000/80000/78300/78234/822cacce_b.jpg","350px","0","92007","25/6/2023 17:26:59",,
